date,type,topic
2026-06-28T12:32:10.856518,video,Geography Reel Video
2026-06-28T13:44:54.407158,video,Geography Reel Video
2026-06-28T15:30:06.911572,video,Geography Reel Video
2026-06-28T17:21:47.740438,video,Geography Reel Video
2026-06-28T18:26:57.496559,video,Geography Reel Video
2026-06-28T22:13:35.811045,video,Geography Reel Video
2026-06-28T23:08:43.398167,video,Geography Reel Video
2026-06-29T00:20:41.481507,video,What If Scenario Video
2026-06-29T04:22:45.506309,video,Geography Reel Video
2026-06-29T07:33:11.120936,video,Geography Reel Video
2026-06-29T08:13:52.165690,video,Geography Reel Video
2026-06-29T09:21:59.277306,video,Geography Reel Video
2026-06-29T10:24:47.959637,video,What If Scenario Video
2026-06-29T11:21:38.412123,video,Geography Reel Video
2026-06-29T12:18:59.655525,video,Geography Reel Video
2026-06-29T13:38:51.015169,video,Geography Reel Video
2026-06-29T17:11:53.379055,video,Geography Reel Video
2026-06-29T19:17:28.863763,video,What If Scenario Video
2026-06-29T21:07:35.985510,video,Geography Reel Video
2026-06-29T22:31:47.913467,video,Geography Reel Video
2026-06-30T00:07:34.004258,video,What If Scenario Video
2026-06-30T02:30:07.718687,video,Geography Reel Video
2026-06-30T07:29:31.087376,video,Geography Reel Video
2026-06-30T08:37:16.926856,video,Geography Reel Video
2026-06-30T09:46:49.947333,video,Geography Reel Video
2026-06-30T10:39:54.888182,video,Geography Reel Video
2026-06-30T11:45:11.094590,video,Geography Reel Video
2026-06-30T12:32:46.901308,video,Geography Reel Video
2026-06-30T16:34:45.234872,video,What If Scenario Video
2026-06-30T18:43:48.477286,video,Geography Reel Video
2026-06-30T21:11:21.896407,video,Geography Reel Video
2026-06-30T22:27:39.682173,video,What If Scenario Video
2026-07-01T00:16:54.016212,video,Geography Reel Video
2026-07-01T03:12:58.758458,video,Geography Reel Video
2026-07-01T07:19:46.980593,video,Geography Reel Video
2026-07-01T08:37:29.350588,video,Geography Reel Video
2026-07-01T09:24:47.049351,video,What If Scenario Video
2026-07-01T10:24:21.653272,video,Geography Reel Video
2026-07-01T12:20:21.941188,video,Geography Reel Video
2026-07-02T07:21:56.547474,video,Geography Reel Video
2026-07-02T08:30:26.594441,video,What If Scenario Video
2026-07-02T09:24:01.529558,video,Geography Reel Video
2026-07-02T10:37:46.425180,video,Geography Reel Video
2026-07-02T11:21:34.663607,video,Geography Reel Video
2026-07-02T12:59:13.777564,video,Geography Reel Video
2026-07-03T07:24:44.179412,video,Geography Reel Video
2026-07-03T08:20:59.144906,video,What If Scenario Video
2026-07-03T09:20:33.656107,video,Geography Reel Video
2026-07-03T10:20:30.507983,video,Geography Reel Video
2026-07-03T11:17:00.715505,video,Geography Reel Video
2026-07-03T12:26:34.577064,video,What If Scenario Video
2026-07-04T08:27:32.208963,video,What If Scenario Video
2026-07-04T09:21:46.490103,video,Geography Reel Video
2026-07-04T10:19:02.693798,video,Geography Reel Video
2026-07-04T11:15:27.722677,video,Geography Reel Video
2026-07-04T12:24:12.122058,video,Geography Reel Video
2026-07-05T08:20:12.618122,video,Geography Reel Video
2026-07-05T09:27:39.794247,video,Geography Reel Video
2026-07-05T11:19:01.135653,video,Geography Reel Video
2026-07-05T12:22:01.792941,video,Geography Reel Video
2026-07-06T08:23:04.774396,video,Geography Reel Video
2026-07-06T09:24:11.722556,video,What If Scenario Video
2026-07-06T10:19:34.466080,video,What If Scenario Video
2026-07-06T12:24:19.230572,video,Geography Reel Video
2026-07-07T07:23:32.903880,video,Geography Reel Video
2026-07-07T08:22:04.283362,video,Geography Reel Video
2026-07-07T09:50:52.949406,video,Geography Reel Video
2026-07-07T10:22:36.504880,video,Geography Reel Video
2026-07-07T11:19:29.172341,video,Geography Reel Video
2026-07-07T12:24:31.405006,video,What If Scenario Video
2026-07-08T07:19:17.333882,video,Geography Reel Video
2026-07-08T09:22:06.052833,video,What If Scenario Video
2026-07-08T10:16:52.708248,video,What If Scenario Video
2026-07-08T11:29:12.571439,video,Geography Reel Video
2026-07-08T12:31:07.908727,video,Geography Reel Video
2026-07-28T17:27:04.479380,video,Fact Split Video
2026-07-28T19:44:16.199078,video,Fact Split Video
2026-07-28T20:13:42.383121,video,Fact Split Video
2026-07-28T20:33:33.024946,video,Fact Split Video
2026-07-28T20:49:56.173860,video,Fact Split Video
2026-07-29T08:28:25.699736,video,Fact Split Video
2026-07-30T08:14:28.640243,video,Fact Split Video
2026-07-31T08:40:53.285030,video,Fact Split Video
2026-08-01T08:10:11.895704,video,Fact Split Video
2026-08-02T08:11:59.114527,video,Fact Split Video
2026-08-04T08:28:44.859856,video,Fact Split Video
2026-08-04T21:45:24.850553,video,Fact Split Video
2026-08-05T05:43:41.695067,video,Finance Video
2026-08-05T08:47:22.228807,video,Finance Video
2026-08-05T12:12:39.960247,video,Finance Video
2026-08-05T16:15:59.845799,video,Finance Video
2026-08-06T08:22:57.974464,video,Finance Video
2026-08-07T05:17:17.823528,video,Finance Video
2026-08-07T05:54:47.999094,video,Finance Video
2026-08-07T06:12:54.778262,video,Finance Video
2026-08-07T06:31:37.208756,video,Finance Video
2026-08-07T07:08:07.152700,video,Finance Video
2026-08-07T12:55:39.832341,video,Finance Video
2026-08-08T06:40:00.715543,video,Finance Video
2026-08-09T06:44:40.032794,video,Finance Video
2026-08-10T07:20:04.536470,video,Finance Video
2026-08-11T18:34:27.563786,video,Finance Video
2026-08-11T19:55:04.792282,video,Finance Video
2026-08-11T20:51:48.064014,video,Finance Video
2026-08-12T07:24:45.499390,video,Finance Video
2026-08-13T07:10:45.752386,video,Finance Video
2026-08-13T07:26:09.071328,video,Finance Video
2026-08-13T08:11:28.792976,video,Finance Video
2026-08-13T09:16:20.608126,video,Finance Video
2026-08-13T10:10:06.598788,video,Finance Video
2026-08-13T11:11:02.536091,video,Finance Video
2026-08-13T12:21:49.002790,video,Finance Video
2026-08-14T07:24:37.189009,video,Finance Video
2026-08-14T08:13:36.988400,video,Finance Video
2026-08-14T09:15:07.546316,video,Finance Video
2026-08-14T10:09:27.942023,video,Finance Video
2026-08-14T11:05:34.928668,video,Finance Video
2026-08-14T12:09:59.756687,video,Finance Video
2026-08-15T06:31:28.953826,video,Finance Video
2026-08-15T07:10:37.060376,video,Finance Video
2026-08-15T08:10:01.686520,video,Finance Video
2026-08-15T09:14:40.839454,video,Finance Video
2026-08-15T10:15:57.905792,video,Finance Video
2026-08-15T11:14:17.136265,video,Finance Video
2026-08-15T12:07:06.626433,video,Finance Video
2026-08-16T06:33:35.163458,video,Finance Video
2026-08-16T07:09:50.085032,video,Finance Video
2026-08-16T08:09:09.778439,video,Finance Video
2026-08-16T09:09:51.824112,video,Finance Video
2026-08-16T10:09:58.253256,video,Finance Video
2026-08-16T11:19:19.171641,video,Finance Video
2026-08-16T12:13:27.303229,video,Finance Video
2026-08-17T06:41:39.752941,video,Finance Video
2026-08-17T07:09:54.790342,video,Finance Video
2026-08-17T08:06:55.215231,video,Finance Video
2026-08-17T09:11:09.917119,video,Finance Video
2026-08-17T10:12:07.514130,video,Finance Video
2026-08-17T11:10:46.678664,video,Finance Video
2026-08-17T12:09:45.687638,video,Finance Video
2026-08-18T06:35:37.201750,video,Finance Video
2026-08-18T07:10:16.458995,video,Finance Video
2026-08-18T08:11:32.167372,video,Finance Video
2026-08-18T09:10:00.378062,video,Finance Video
2026-08-18T10:16:57.166710,video,Finance Video
2026-08-18T11:13:45.332212,video,Finance Video
2026-08-18T12:10:50.241866,video,Finance Video
2026-08-19T06:38:26.357939,video,Finance Video
2026-08-19T07:11:07.072525,video,Finance Video
2026-08-19T08:18:05.533081,video,Finance Video
2026-08-19T10:10:36.700156,video,Finance Video
2026-08-19T11:10:19.477594,video,Finance Video
2026-08-19T12:12:01.498260,video,Finance Video
2026-08-20T06:37:52.462006,video,Finance Video
2026-08-20T07:16:01.555118,video,Finance Video
2026-08-20T08:15:40.583143,video,Finance Video
2026-08-20T09:04:32.480683,video,Finance Video
2026-08-20T10:10:41.513626,video,Finance Video
2026-08-20T11:11:33.624168,video,Finance Video
2026-08-20T12:14:48.073898,video,Finance Video
2026-08-21T06:38:59.901944,video,Finance Video
2026-08-21T07:09:15.700732,video,Finance Video
2026-08-21T08:11:46.221611,video,Finance Video
2026-08-21T09:11:36.290257,video,Finance Video
2026-08-21T10:11:15.918101,video,Finance Video
2026-08-21T11:10:11.569192,video,Finance Video
2026-08-21T12:11:27.151459,video,Finance Video
2026-08-22T06:35:52.724117,video,Finance Video
2026-08-22T07:15:57.549973,video,Finance Video
2026-08-22T08:10:59.889226,video,Finance Video
2026-08-22T09:12:01.025813,video,Finance Video
2026-08-22T10:13:54.149401,video,Finance Video
2026-08-22T11:10:55.394249,video,Finance Video
2026-08-22T12:14:36.080177,video,Finance Video
2026-08-23T06:34:18.952691,video,Finance Video
2026-08-23T07:10:29.241971,video,Finance Video
2026-08-23T08:12:34.124151,video,Finance Video
2026-08-23T09:13:47.847131,video,Finance Video
2026-08-23T10:09:23.024570,video,Finance Video
2026-08-23T11:09:20.508300,video,Finance Video
2026-08-23T12:09:51.387617,video,Finance Video
